DayOfWeek,DepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
4,1732,1856,1808,6507,84,77,59,41,337,5,20,0,0,41,0,7,0,0
2,2240,41,23,822,121,128,91,25,728,6,24,0,0,3,0,0,0,15
6,1235,1351,1318,1515,136,137,122,34,804,3,11,0,0,33,0,0,0,0
4,1946,2051,2035,3243,65,60,48,11,223,2,15,0,0,1,0,5,0,10
1,1557,1717,1629,6326,200,181,171,29,1084,17,12,0,0,48,0,0,0,0
